word,pos,total,articles
基づく,動詞,1482,1061
外国,名詞,1481,1065
会社,名詞,1477,877
世,名詞,1477,763
生理学,名詞,1474,815
工学科,名詞,1473,950
初,名詞,1469,1053
協力,名詞,1468,1050
生,名詞,1468,1131
軍,名詞,1467,808
使用,名詞,1466,933
薬学,名詞,1464,491
九州大学,名詞,1462,652
成果,名詞,1459,1075
認める,動詞,1459,1020
発生,名詞,1459,887
ニューヨーク,名詞,1458,933
通信,名詞,1456,680
江戸,名詞,1454,625
説明,名詞,1454,843
功績,名詞,1449,1207
機能,名詞,1446,862
教師,名詞,1444,954
関連,名詞,1440,1137
陸軍,名詞,1433,701
海軍,名詞,1430,610
神経,名詞,1425,623
制度,名詞,1423,893
大きい,形容詞,1421,1026
地方,名詞,1419,970
モデル,名詞,1418,774
記録,名詞,1417,855
分類,名詞,1415,811
父親,名詞,1407,1018
分子,名詞,1407,658
ジョン,名詞,1404,968
推進,名詞,1401,1005
強い,形容詞,1398,1004
主任,名詞,1394,1076
園,名詞,1385,720
小学校,名詞,1383,878
憲法,名詞,1381,433
衛生,名詞,1378,632
自由,名詞,1377,740
比較,名詞,1375,972
経験,名詞,1372,968
選出,名詞,1360,1131
自ら,名詞,1357,979
刊行,名詞,1354,862
アジア,名詞,1352,840
学士,名詞,1352,1189
ハー,名詞,1343,842
教える,動詞,1341,1027
標本,名詞,1337,641
教員,名詞,1336,994
旧制,名詞,1331,969
進む,動詞,1330,1129
紹介,名詞,1327,1000
利用,名詞,1325,952
評議,名詞,1316,966
島,名詞,1315,632
解剖,名詞,1313,537
師事,名詞,1312,1187
プロジェクト,名詞,1308,783
健康,名詞,1300,756
受章,名詞,1298,1079
合成,名詞,1297,490
校長,名詞,1296,793
関心,名詞,1295,977
反対,名詞,1295,742
生命,名詞,1288,730
初期,名詞,1288,1024
教室,名詞,1288,812
力学,名詞,1287,643
関わる,動詞,1285,1023
振興,名詞,1282,961
工科,名詞,1279,877
静岡県立大学,名詞,1275,240
台湾,名詞,1271,393
とる,動詞,1271,1025
その他,名詞,1268,1108
母,名詞,1268,923
探検,名詞,1267,483
求める,動詞,1263,846
娘,名詞,1262,922
民族,名詞,1261,548
渡る,動詞,1261,1055
送る,動詞,1260,868
権,名詞,1256,660
工業,名詞,1256,787
コンピュータ,名詞,1254,511
専任,名詞,1251,1140
証明,名詞,1247,704
物質,名詞,1245,729
指摘,名詞,1243,764
作品,名詞,1241,530
命名,名詞,1237,973
立場,名詞,1237,796
設置,名詞,1235,803
反応,名詞,1229,596
国民,名詞,1228,647
独立,名詞,1227,868
版,名詞,1225,756
近代,名詞,1223,839
行く,動詞,1220,864
