word,pos,total,articles
拒否,名詞,18,16
国内,名詞,18,14
招待,名詞,18,10
邸宅,名詞,18,14
死亡,名詞,18,16
避ける,動詞,18,17
プリンス・オブ・ウェールズ,名詞,18,16
言葉,名詞,17,13
始まる,動詞,17,15
夭折,名詞,17,17
失敗,名詞,17,16
マドリード,名詞,17,10
番組,名詞,17,5
明らか,名詞,17,15
制,名詞,17,14
画,名詞,17,11
リチャード,名詞,17,2
皇族,名詞,17,13
音楽,名詞,17,14
裁判,名詞,17,8
出来る,動詞,17,12
遺言,名詞,17,14
条約,名詞,17,15
実現,名詞,17,17
姫,名詞,17,14
命名,名詞,17,14
落ちる,動詞,17,15
守る,動詞,17,13
長姉,名詞,17,17
ミ,名詞,17,4
アイルランド,名詞,17,14
嗣子,名詞,17,15
最終,名詞,17,16
無効,名詞,17,10
支える,動詞,17,15
亡くす,動詞,17,14
ガ,名詞,17,7
儀礼,名詞,17,13
主,名詞,17,16
推定,名詞,17,15
移す,動詞,17,16
教師,名詞,17,15
作家,名詞,17,16
早世,名詞,17,16
事態,名詞,17,16
人間,名詞,17,11
協力,名詞,16,11
義兄,名詞,16,13
ブルゴーニュ,名詞,16,6
成人,名詞,16,16
師,名詞,16,7
卒業,名詞,16,14
曾祖母,名詞,16,14
獲得,名詞,16,12
オリンピック,名詞,16,8
受け入れる,動詞,16,13
伝統,名詞,16,11
バル,名詞,16,6
廃位,名詞,16,13
せい,名詞,16,15
移り住む,動詞,16,12
座,名詞,16,14
ウン,名詞,16,5
ポール,名詞,16,8
くれる,動詞,16,14
フランソワーズ,名詞,16,12
勲章,名詞,16,9
アマ,名詞,16,12
皇女,名詞,16,14
入れる,動詞,16,13
請求,名詞,16,15
個人,名詞,16,11
学者,名詞,16,12
感じる,動詞,16,12
顔,名詞,16,12
舅,名詞,16,9
完全,名詞,16,13
邸,名詞,16,5
メキシコ,名詞,16,6
文通,名詞,16,12
かかる,動詞,16,14
優れる,動詞,16,13
聞く,動詞,16,11
意向,名詞,16,11
自由,名詞,16,12
起こる,動詞,16,13
科学,名詞,16,14
報じる,動詞,16,8
軍人,名詞,16,15
大変,名詞,16,14
スター,名詞,16,9
ジェーン,名詞,16,3
晩餐,名詞,15,9
首都,名詞,15,12
創設,名詞,15,13
セーラ,名詞,15,6
和解,名詞,15,13
進める,動詞,15,13
知り合う,動詞,15,15
才能,名詞,15,11
出演,名詞,15,10
戦い,名詞,15,12
侍従,名詞,15,12
ハインリヒ,名詞,15,6
建てる,動詞,15,13
子爵,名詞,15,9
果たす,動詞,15,13
同母,名詞,15,12
戦後,名詞,15,12
喜ぶ,動詞,15,12
経験,名詞,15,12
紙,名詞,15,9
不仲,名詞,15,12
曾孫,名詞,15,13
親王,名詞,15,7
事実,名詞,15,11
いずれ,名詞,15,14
インタビュー,名詞,15,7
受け継ぐ,動詞,15,14
つける,動詞,15,15
公夫,名詞,15,10
事故死,名詞,15,10
占領,名詞,15,13
恋愛,名詞,15,13
市民,名詞,15,14
信仰,名詞,15,13
欧州,名詞,15,10
ブリュッセル,名詞,15,13
総裁,名詞,15,11
収入,名詞,15,9
魅力,名詞,15,14
候補,名詞,15,12
注目,名詞,15,11
母国,名詞,15,13
墓所,名詞,15,15
サンクトペテルブルク,名詞,15,9
時期,名詞,15,11
合う,動詞,15,12
未来,名詞,15,10
ニューヨーク,名詞,15,9
外交,名詞,15,12
特別,名詞,15,11
積極,名詞,15,13
治世,名詞,15,11
通う,動詞,15,13
解放,名詞,15,13
伯母,名詞,15,15
直前,名詞,15,13
表記,名詞,14,8
書き送る,動詞,14,7
遺産,名詞,14,13
去る,動詞,14,12
居城,名詞,14,12
経歴,名詞,14,14
官,名詞,14,13
郡,名詞,14,12
ダンス,名詞,14,6
拒む,動詞,14,12
ヴァイ,名詞,14,7
命じる,動詞,14,11
剥奪,名詞,14,14
勝利,名詞,14,8
依頼,名詞,14,12
寄せる,動詞,14,14
重要,名詞,14,13
授かる,動詞,14,13
同居,名詞,14,8
流す,動詞,14,10
侵攻,名詞,14,9
評す,動詞,14,9
使用,名詞,14,10
着る,動詞,14,7
受け取る,動詞,14,14
階級,名詞,14,10
来る,動詞,14,11
宮,名詞,14,8
平和,名詞,14,11
建設,名詞,14,14
趣味,名詞,14,13
服,名詞,14,4
帰る,動詞,14,11
収容,名詞,14,6
由来,名詞,14,11
ミラノ,名詞,14,7
語る,動詞,14,9
役割,名詞,14,11
クーデター,名詞,14,11
フリー,名詞,14,13
逝去,名詞,14,8
サンド,名詞,14,8
資格,名詞,14,14
渡る,動詞,14,12
病,名詞,14,13
ポンド,名詞,14,7
暮らし,名詞,14,12
放送,名詞,14,6
懐妊,名詞,14,9
患う,動詞,14,14
費,名詞,14,7
共同,名詞,14,8
伝える,動詞,14,11
共和,名詞,14,11
隣,名詞,14,12
関わる,動詞,14,11
余儀ない,形容詞,14,14
自宅,名詞,14,12
感情,名詞,14,11
経る,動詞,14,13
納骨,名詞,14,13
分家,名詞,14,12
グロ,名詞,14,7
場所,名詞,14,12
成長,名詞,14,13
大使,名詞,14,10
障害,名詞,14,13
上位,名詞,14,9
舞踏,名詞,14,10
夜,名詞,14,6
勤務,名詞,13,12
作品,名詞,13,11
生まれ,名詞,13,10
勧める,動詞,13,11
ガム,名詞,13,7
地雷,名詞,13,1
叙爵,名詞,13,8
資産,名詞,13,11
すぎる,動詞,13,11
違う,動詞,13,11
法的,名詞,13,12
パス,名詞,13,2
基づく,動詞,13,13
成功,名詞,13,11
感謝,名詞,13,9
記す,動詞,13,9
愛,名詞,13,7
大佐,名詞,13,5
アル,名詞,13,9
電話,名詞,13,3
レオ,名詞,13,10
祝う,動詞,13,12
希望,名詞,13,7
帝位,名詞,13,10
就任,名詞,13,12
期待,名詞,13,13
感染,名詞,13,12
通す,動詞,13,13
フォン,名詞,13,13
会社,名詞,13,8
公表,名詞,13,9
次ぐ,動詞,13,12
美人,名詞,13,11
似る,動詞,13,11
訪英,名詞,13,5
流産,名詞,13,11
子ども,名詞,13,10
用いる,動詞,13,10
決定,名詞,13,11
セ,名詞,13,4
宮中,名詞,13,10
承認,名詞,13,12
運転,名詞,13,8
文化,名詞,13,10
理解,名詞,13,12
要求,名詞,13,9
引退,名詞,13,11
出来事,名詞,13,12
ミハイル,名詞,13,6
枢機卿,名詞,13,9
男児,名詞,13,8
当主,名詞,13,13
崩壊,名詞,13,12
仕える,動詞,13,13
心臓,名詞,13,10
監督,名詞,13,9
条件,名詞,12,10
運動,名詞,12,11
本家,名詞,12,11
着用,名詞,12,7
休暇,名詞,12,9
国籍,名詞,12,4
研究,名詞,12,7
故国,名詞,12,11
宝石,名詞,12,10
調査,名詞,12,7
バラ,名詞,12,4
とる,動詞,12,9
パーティー,名詞,12,10
構える,動詞,12,12
メディア,名詞,12,8
大勢,名詞,12,12
定める,動詞,12,11
病気,名詞,12,12
オノ,名詞,12,6
オス,名詞,12,5
敬虔,名詞,12,11
住居,名詞,12,12
天然痘,名詞,12,11
機,名詞,12,7
次兄,名詞,12,10
ノーフォーク,名詞,12,8
好む,動詞,12,11
改葬,名詞,12,7
フィレンツェ,名詞,12,8
根拠,名詞,12,10
いい,形容詞,12,8
苦しむ,動詞,12,10
捧げる,動詞,12,11
国政,名詞,12,7
ファースト,名詞,12,11
来日,名詞,12,3
異母弟,名詞,12,11
破談,名詞,12,10
ブラ,名詞,12,7
治療,名詞,12,8
法律,名詞,12,11
説,名詞,12,7
城内,名詞,12,12
会議,名詞,12,10
オリ,名詞,12,2
断る,動詞,12,11
保護,名詞,12,10
権力,名詞,12,8
馬車,名詞,12,8
併合,名詞,12,12
画策,名詞,12,9
全員,名詞,12,12
内戦,名詞,12,9
配,名詞,12,11
引き取る,動詞,12,11
公的,名詞,12,10
有す,動詞,12,12
負う,動詞,12,7
組織,名詞,12,9
赴く,動詞,12,9
優先,名詞,12,10
みる,動詞,12,10
王立,名詞,12,10
シリア,名詞,12,4
協会,名詞,12,11
紹介,名詞,12,10
スキャンダル,名詞,12,11
恐れる,動詞,12,12
兼,名詞,12,9
秘密,名詞,12,11
急逝,名詞,12,12
倒れる,動詞,12,12
日記,名詞,12,6
非難,名詞,12,8
活躍,名詞,12,8
帝室,名詞,12,5
流れる,動詞,12,12
意見,名詞,12,7
態度,名詞,12,11
継母,名詞,11,6
努力,名詞,11,10
年齢,名詞,11,11
心配,名詞,11,7
もつ,動詞,11,10
平民,名詞,11,7
女帝,名詞,11,5
孤独,名詞,11,10
マイケル,名詞,11,5
留まる,動詞,11,10
長年,名詞,11,10
サラ,名詞,11,3
怒り,名詞,11,10
向ける,動詞,11,9
おかげ,名詞,11,10
王侯,名詞,11,11
応じる,動詞,11,11
安置,名詞,11,8
幸せ,名詞,11,10
号,名詞,11,10
ユリ,名詞,11,4
家系,名詞,11,9
主人,名詞,11,9
ユリウス,名詞,11,4
ユーゴスラビア,名詞,11,7
ハミルトン,名詞,11,3
体調,名詞,11,10
海外,名詞,11,11
マント,名詞,11,6
過食,名詞,11,1
マン,名詞,11,8
疑惑,名詞,11,5
終結,名詞,11,9
騎士,名詞,11,7
先妻,名詞,11,9
国家,名詞,11,11
復活,名詞,11,9
ネーム,名詞,11,8
その他,名詞,11,11
親戚,名詞,11,10
紋章,名詞,11,3
証言,名詞,11,5
無視,名詞,11,8
合わせる,動詞,11,10
過ぎる,動詞,11,9
午後,名詞,11,3
ホーコン,名詞,11,8
義妹,名詞,11,8
情報,名詞,11,6
雑誌,名詞,11,7
きっかけ,名詞,11,8
居,名詞,11,11
裕福,名詞,11,11
両者,名詞,11,10
禁じる,動詞,11,8
軍事,名詞,11,8
バント,名詞,11,6
指名,名詞,11,9
施設,名詞,11,9
墓,名詞,11,10
総長,名詞,11,8
墓地,名詞,11,10
がち,名詞,11,9
意思,名詞,11,9
カロリー,名詞,11,11
多数,名詞,11,11
王朝,名詞,11,9
未婚,名詞,11,10
グリッド,名詞,11,2
見なす,動詞,11,10
宛てる,動詞,11,9
テレ,名詞,11,11
流行,名詞,11,10
福祉,名詞,11,10
代表,名詞,11,8
世紀,名詞,11,9
ひどい,形容詞,11,9
昭和,名詞,11,4
発見,名詞,11,7
成員,名詞,11,10
話す,動詞,11,11
手術,名詞,11,9
恋仲,名詞,11,10
オスロ,名詞,11,5
取り組む,動詞,11,6
なれる,動詞,11,10
ド,名詞,11,11
諸侯,名詞,11,9
ミゲル,名詞,11,9
立てる,動詞,11,10
経営,名詞,11,9
買う,動詞,11,10
初め,名詞,11,10
帝政,名詞,11,7
物,名詞,11,6
養子,名詞,11,8
指導,名詞,11,8
留学,名詞,11,7
浮気,名詞,10,9
存命,名詞,10,10
余生,名詞,10,10
パーク,名詞,10,4
莫大,名詞,10,10
王制,名詞,10,9
主催,名詞,10,5
