word,pos,total,articles
要請,名詞,21,16
大将,名詞,21,15
代わり,名詞,21,13
同意,名詞,21,17
築く,動詞,21,18
住む,動詞,21,19
仕える,動詞,21,16
国際,名詞,21,18
軍勢,名詞,21,13
事態,名詞,21,13
従姉,名詞,21,20
キプロス,名詞,21,16
完全,名詞,21,19
講和,名詞,21,11
ハプスブルク,名詞,21,15
釈放,名詞,21,19
含む,動詞,21,19
復帰,名詞,21,13
外国,名詞,21,19
移住,名詞,20,16
防衛,名詞,20,10
渡る,動詞,20,15
末子,名詞,20,19
立てる,動詞,20,18
兵士,名詞,20,13
崩壊,名詞,20,17
入学,名詞,20,16
不満,名詞,20,14
成人,名詞,20,17
取得,名詞,20,19
南部,名詞,20,14
作曲,名詞,20,9
大使,名詞,20,15
列強,名詞,20,6
アレクサンドラ,名詞,20,15
アルト,名詞,20,7
以外,名詞,20,13
資産,名詞,20,14
マドリード,名詞,20,11
直後,名詞,20,17
恐れる,動詞,20,13
ハーグ,名詞,20,12
出る,動詞,20,13
改宗,名詞,20,13
逃れる,動詞,20,16
大陸,名詞,20,11
マル,名詞,20,14
図る,動詞,20,13
奪う,動詞,20,15
顧問,名詞,20,15
落とす,動詞,20,9
保護,名詞,20,14
暮らす,動詞,20,19
離れる,動詞,20,18
ケンブリッジ,名詞,20,7
野党,名詞,20,5
北,名詞,20,14
戦場,名詞,19,9
英語,名詞,19,16
公式,名詞,19,14
内容,名詞,19,15
補給,名詞,19,6
出産,名詞,19,13
一時,名詞,19,19
首都,名詞,19,13
指名,名詞,19,16
大統領,名詞,19,13
約束,名詞,19,15
使う,動詞,19,17
翌日,名詞,19,17
アンナ,名詞,19,18
同族,名詞,19,18
庶民,名詞,19,7
役割,名詞,19,16
相手,名詞,19,15
経験,名詞,19,16
悪化,名詞,19,15
説,名詞,19,10
邸宅,名詞,19,16
クーデター,名詞,19,10
票,名詞,19,8
有名,名詞,19,14
ニコライ,名詞,19,8
文化,名詞,19,9
休戦,名詞,19,8
事故,名詞,19,15
辞任,名詞,19,12
各国,名詞,19,15
唯一,名詞,19,18
ナチス,名詞,19,10
精神,名詞,19,15
人気,名詞,19,15
ちなむ,動詞,19,15
婚姻,名詞,19,12
ハンス,名詞,19,2
条件,名詞,19,15
代理,名詞,19,17
アラン,名詞,19,4
入れる,動詞,19,14
側近,名詞,19,10
混乱,名詞,18,14
引く,動詞,18,16
所有,名詞,18,17
アルバート,名詞,18,5
プロヴァンス,名詞,18,7
アル,名詞,18,10
将来,名詞,18,12
半島,名詞,18,3
招く,動詞,18,15
建築,名詞,18,9
時期,名詞,18,15
出来る,動詞,18,14
立つ,動詞,18,16
経営,名詞,18,15
一家,名詞,18,13
行く,動詞,18,11
辞職,名詞,18,7
辺境,名詞,18,16
追う,動詞,18,18
去る,動詞,18,17
ウェストミンスター,名詞,18,11
帝位,名詞,18,8
役,名詞,18,10
抱く,動詞,18,13
捕らえる,動詞,18,11
奪還,名詞,18,13
家督,名詞,18,17
思う,動詞,18,15
閣僚,名詞,18,5
育てる,動詞,18,17
降伏,名詞,18,12
後任,名詞,18,10
略歴,名詞,18,18
敗戦,名詞,18,12
トー,名詞,18,6
非難,名詞,18,13
司教,名詞,18,10
海戦,名詞,18,13
男系,名詞,18,15
長官,名詞,18,8
ピット,名詞,17,5
儀礼,名詞,17,17
侵略,名詞,17,10
目指す,動詞,17,12
良い,形容詞,17,16
有力,名詞,17,13
抵抗,名詞,17,12
激しい,形容詞,17,10
再開,名詞,17,11
会社,名詞,17,11
病院,名詞,17,14
芸術,名詞,17,12
中尉,名詞,17,14
秘密,名詞,17,15
決める,動詞,17,13
政界,名詞,17,7
聖職,名詞,17,12
兼ねる,動詞,17,14
