word,pos,total,articles
北海道大学,名詞,47,23
もたらす,動詞,47,34
東京女子医科大学,名詞,47,30
この間,名詞,47,42
無い,形容詞,47,28
院長,名詞,47,30
舞踊団,名詞,47,2
構築,名詞,47,40
東北大学,名詞,46,23
信じる,動詞,46,35
姿勢,名詞,46,31
ラテン語,名詞,46,27
上智大学,名詞,46,29
生産,名詞,46,27
理化学研究所,名詞,46,13
カール,名詞,46,32
依存,名詞,46,17
ナイ,名詞,46,8
危機,名詞,46,24
兼任,名詞,46,31
統計,名詞,46,30
地元,名詞,46,36
検討,名詞,46,37
教皇,名詞,46,10
太陽,名詞,46,11
ボストン,名詞,46,33
微生物,名詞,46,24
厳しい,形容詞,46,34
小児科,名詞,46,24
見なす,動詞,46,23
他者,名詞,46,15
顕微鏡,名詞,45,21
独,名詞,45,12
勧める,動詞,45,37
退官,名詞,45,40
対,名詞,45,14
状,名詞,45,38
準備,名詞,45,31
行政,名詞,45,33
ナイチンゲール,名詞,45,5
放射,名詞,45,13
迎える,動詞,45,37
スペイン,名詞,45,27
立候補,名詞,45,24
集合,名詞,45,8
逮捕,名詞,45,27
評す,動詞,45,31
擁護,名詞,45,28
師事,名詞,45,41
敗れる,動詞,45,12
ギリシア,名詞,45,30
伝統,名詞,45,34
ハーバード,名詞,45,38
リーダー,名詞,45,34
見解,名詞,45,31
対立,名詞,45,32
スタンフォード,名詞,45,32
文字,名詞,45,20
全体,名詞,45,29
市長,名詞,44,18
後年,名詞,44,28
眼科,名詞,44,5
会う,動詞,44,31
親,名詞,44,27
分離,名詞,44,22
婦長,名詞,44,17
好き,名詞,44,34
中学,名詞,44,31
トランプ,名詞,44,6
対応,名詞,44,28
弁護士,名詞,44,30
イリノイ,名詞,44,31
職業,名詞,44,35
インターネット,名詞,44,18
受験,名詞,44,24
ウィルソン,名詞,44,10
移動,名詞,44,28
局長,名詞,44,22
平助,名詞,44,1
ジャン,名詞,44,19
言及,名詞,44,31
当てる,動詞,44,38
公,名詞,43,25
ミッション,名詞,43,12
農学,名詞,43,24
学院,名詞,43,32
ソ連,名詞,43,21
判断,名詞,43,32
彗星,名詞,43,14
島,名詞,43,31
精子,名詞,43,3
名付ける,動詞,43,33
党首,名詞,43,8
引用,名詞,43,23
直接,名詞,43,33
オックスフォード大学,名詞,43,33
才能,名詞,43,32
スコットランド,名詞,43,20
家政学,名詞,43,26
起こす,動詞,43,32
十分,名詞,43,34
付ける,動詞,43,40
クリニック,名詞,43,22
尽力,名詞,43,38
入社,名詞,43,37
校長,名詞,43,27
ジェーン,名詞,43,15
ルイス,名詞,43,16
助ける,動詞,43,34
製作,名詞,42,24
病理,名詞,42,24
協議,名詞,42,32
キャサリン,名詞,42,14
要求,名詞,42,28
解体,名詞,42,15
継続,名詞,42,35
正しい,形容詞,42,28
トリー,名詞,42,3
建築,名詞,42,23
九州大学,名詞,42,31
生成,名詞,42,26
記者,名詞,42,27
東京都立大学,名詞,42,29
シェル,名詞,42,4
取材,名詞,42,28
免許,名詞,42,32
夜,名詞,42,33
普及,名詞,42,31
オーストリア,名詞,42,26
変わる,動詞,42,30
派遣,名詞,41,34
最大,名詞,41,35
被害,名詞,41,27
就職,名詞,41,31
証拠,名詞,41,30
夢,名詞,41,23
核,名詞,41,21
傍ら,名詞,41,36
詩,名詞,41,20
近い,形容詞,41,35
オリンピック,名詞,41,16
結核,名詞,41,27
転じる,動詞,41,30
保守,名詞,41,16
名古屋大学,名詞,41,20
望む,動詞,41,29
通訳,名詞,41,12
アレクサンドリア,名詞,40,5
見つける,動詞,40,28
アプローチ,名詞,40,29
幾何,名詞,40,15
