"number","title","pageid","namespace","length","touched"
"246","クリスティアーネ・ニュスライン＝フォルハルト","1085002","","7439","20220225014331"
"247","メアリー・アニング","1085606","","11694","20220428102936"
"248","菅原ますみ","1103032","","2698","20210201171113"
"249","高良とみ","1105538","","11203","20220521131750"
"250","矢野由起","1120519","","1793","20220309061735"
"251","瀬尾芙巳子","1124646","","3939","20190209064503"
"252","寿岳章子","1128621","","3395","20220204012704"
"253","菅美弥","1133255","","2462","20220303112227"
"254","ジュリア・ロビンソン","1136800","","4102","20210427154729"
"255","大越愛子","1136805","","4708","20210928021001"
"256","ジャミラ・ブーパシャ","1139027","","5952","20211222230320"
"257","エマ・ヴィソツキー","1140380","","1848","20220315121123"
"258","スーザン・ブラックモア","1148721","","9282","20220107193056"
"259","モード・メンテン","1148937","","4220","20200320005619"
"260","松永あけみ","1148945","","9810","20220605234523"
"261","北川東子","1154743","","2001","20180827094241"
"262","氣多雅子","1161619","","3335","20220604104726"
"263","リサ・ランドール","1169606","","7916","20220512110339"
"264","ジュディス・ウォーラースタイン","1171042","","3953","20210904175751"
"265","秋永一枝","1171280","","21740","20220604113510"
"266","吉田加南子","1174661","","3860","20200917032519"
"267","戸佐眞弓","1176449","","1819","20220110040928"
"268","石本茂","1189492","","4022","20220410132956"
"269","菊池真弓_(社会学者)","1191946","","3362","20220303092209"
"270","佐伯芳子","1204552","","1720","20210627050133"
"271","エーヴ・キュリー","1207206","","5278","20210622063455"
"272","モニック・ウィティッグ","1216374","","7203","20220315054853"
"273","エミリー・グリーン・ボルチ","1229066","","3577","20211103140128"
"274","布施晶子","1248291","","3262","20220510114543"
"275","シエナのカタリナ","1248492","","51602","20220522011606"
"276","マーガレット・ゲラー","1249336","","2123","20211219053923"
"277","大沢真理","1265560","","5323","20220308091133"
"278","冲永寛子","1269126","","10650","20220610094516"
"279","オルガ・ハーン＝ノイラート","1279855","","1520","20180827104634"
"280","関戸明子","1284571","","4463","20210109105948"
"281","稲井玲子","1288314","","3862","20191226100102"
"282","小嶋栄子","1294561","","1277","20220424000413"
"283","海妻径子","1299080","","2147","20220527114210"
"284","國方弘子","1317599","","1793","20180914071740"
"285","ナンシー・ストーキー","1324002","","3394","20220120112501"
"286","松本富子","1327053","","4652","20211027153820"
"287","黒沢幸子","1341210","","1985","20180310042334"
"288","長津美代子","1342432","","8109","20210913195544"
"289","マルグリット・ロージェ","1347500","","3096","20211022091430"
"290","金益見","1364148","","17960","20220310003659"
"291","深川由起子","1367456","","5517","20220305014226"
"292","渡辺久子","1371609","","3937","20220608012452"
"293","レオ・ヨギヘス","1383207","","5927","20220410051540"
"294","本田和子","1385944","","6336","20210810021016"
"295","ダニカ・マッケラー","1405972","","6114","20210312202958"
"296","エミリー・デュ・シャトレ","1413549","","18757","20220402013956"
"297","ガートルード・ジーキル","1415438","","5302","20211120121347"
"298","酒井ツギ子","1418220","","4630","20210420052550"
"299","パトリシア・チャーチランド","1422049","","6794","20191017024746"
"300","伊藤早苗","1434065","","6140","20220401045908"
"301","渡部孝子","1434786","","5272","20220605234114"
"302","メリト・プタハ","1443356","","1670","20220121232339"
"303","アリス・プリュヴォ＝フォル","1455134","","5385","20180318121022"
"304","藤川洋子","1457826","","4838","20211127030605"
"305","椹野道流","1466637","","17650","20220603224151"
"306","フローレンス・バスカム","1469076","","2441","20220126130338"
"307","エリヴィラ・ナビウリナ","1475562","","12314","20200808111813"
"308","小林みどり","1481791","","14409","20220415083014"
"309","内田伸子","1485115","","11805","20220520234724"
"310","藤村逸子","1487373","","1116","20200917030120"
"311","タチアナ・ゴリコワ","1508001","","5229","20220404053504"
"312","友利新","1520972","","42892","20220608235936"
"313","井上治代","1521067","","2546","20220303085455"
"314","増井光子","1525613","","9217","20220203162036"
"315","柴田彩千子","1525810","","1735","20220212141718"
"316","ヘレナ・ラショーヴァ","1527707","","4227","20201115051025"
"317","キュレネのアレテ","1529629","","1881","20220124220632"
"318","ヒッパルキア","1536028","","8281","20220124220639"
